,lags,params,custom_metric,n_estimators,max_depth,learning_rate,max_bin,reg_alpha,reg_lambda
176,[1 2 3 4 5 6 7],"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.4493304613259348, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.9}",73.86509324243562,400.0,3.0,0.4493304613259348,225.0,0.7000000000000001,0.9
151,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.44288528622734813, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.8}",73.88346289448799,1200.0,3.0,0.44288528622734813,225.0,0.7000000000000001,0.8
110,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.45043237643361705, 'max_bin': 225, 'reg_alpha': 0.8, 'reg_lambda': 0.7000000000000001}",73.95984488035559,1200.0,3.0,0.45043237643361705,225.0,0.8,0.7000000000000001
166,[1 2 3 4 5 6 7],"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.40905791923675233, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.9}",74.07245757870574,400.0,3.0,0.40905791923675233,225.0,0.7000000000000001,0.9
198,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 4, 'learning_rate': 0.4621776217421127, 'max_bin': 225, 'reg_alpha': 0.6000000000000001, 'reg_lambda': 0.8}",74.14728224353703,1200.0,4.0,0.4621776217421127,225.0,0.6000000000000001,0.8
173,[1 2 3 4 5 6 7],"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.45840471112003117, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.9}",74.25887816651004,400.0,3.0,0.45840471112003117,225.0,0.7000000000000001,0.9
59,[1 2 3 4 5 6 7],"{'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.4964182856011554, 'max_bin': 225, 'reg_alpha': 0.5, 'reg_lambda': 0.4}",74.31131985946159,800.0,4.0,0.4964182856011554,225.0,0.5,0.4
77,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.36536009098521943, 'max_bin': 175, 'reg_alpha': 0.9, 'reg_lambda': 0.7000000000000001}",74.3243695644935,1200.0,3.0,0.36536009098521943,175.0,0.9,0.7000000000000001
170,[1 2 3 4 5 6 7],"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.43387949025468137, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 1.0}",74.34963841289971,500.0,3.0,0.43387949025468137,225.0,0.7000000000000001,1.0
185,[1 2 3 4 5 6 7],"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.47743806279366097, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.9}",74.44007948417722,800.0,3.0,0.47743806279366097,225.0,0.7000000000000001,0.9
113,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.48861030978150966, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.6000000000000001}",74.50255858940879,1100.0,3.0,0.48861030978150966,225.0,0.7000000000000001,0.6000000000000001
98,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 10, 'learning_rate': 0.42434472945131163, 'max_bin': 200, 'reg_alpha': 0.9, 'reg_lambda': 0.5}",74.56835119257663,1200.0,10.0,0.42434472945131163,200.0,0.9,0.5
69,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 8, 'learning_rate': 0.3306217224604455, 'max_bin': 225, 'reg_alpha': 0.4, 'reg_lambda': 1.0}",74.5959450482287,1200.0,8.0,0.3306217224604455,225.0,0.4,1.0
132,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.42631199857050683, 'max_bin': 225, 'reg_alpha': 0.6000000000000001, 'reg_lambda': 0.9}",74.59808544909147,1200.0,3.0,0.42631199857050683,225.0,0.6000000000000001,0.9
102,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.4398944148385773, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.8}",74.64720629621779,1100.0,3.0,0.4398944148385773,225.0,0.7000000000000001,0.8
78,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 4, 'learning_rate': 0.33203928978560965, 'max_bin': 250, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.9}",74.78846321882375,1100.0,4.0,0.33203928978560965,250.0,0.7000000000000001,0.9
163,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.45783721588505305, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.8}",74.91679615486399,1200.0,3.0,0.45783721588505305,225.0,0.7000000000000001,0.8
11,[1 2 3 4 5 6 7],"{'n_estimators': 400, 'max_depth': 7, 'learning_rate': 0.32861073864584767, 'max_bin': 250, 'reg_alpha': 1.0, 'reg_lambda': 0.30000000000000004}",74.94398792329851,400.0,7.0,0.32861073864584767,250.0,1.0,0.30000000000000004
115,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.45897169489293516, 'max_bin': 225, 'reg_alpha': 0.8, 'reg_lambda': 0.0}",75.03940003366667,1200.0,3.0,0.45897169489293516,225.0,0.8,0.0
91,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.4400011345400812, 'max_bin': 225, 'reg_alpha': 1.0, 'reg_lambda': 0.6000000000000001}",75.07614434799075,1200.0,3.0,0.4400011345400812,225.0,1.0,0.6000000000000001
152,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.46251423321740687, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.8}",75.0946387325307,1200.0,3.0,0.46251423321740687,225.0,0.7000000000000001,0.8
63,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.4283449969228216, 'max_bin': 250, 'reg_alpha': 0.8, 'reg_lambda': 1.0}",75.11453408210656,1200.0,3.0,0.4283449969228216,250.0,0.8,1.0
133,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.4750864331642348, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.9}",75.15644693139171,1200.0,3.0,0.4750864331642348,225.0,0.7000000000000001,0.9
