,lags,params,custom_metric,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
70,[1 2 3 4 5 6 7],"{'n_estimators': 900, 'max_depth': 4, 'learning_rate': 0.1860720631231771, 'subsample': 0.6242816978902679, 'colsample_bytree': 0.8568199035830266, 'gamma': 0.2955201497378991, 'reg_alpha': 0.8230681886874996, 'reg_lambda': 0.518927297628088}",93.62449504772877,900.0,4.0,0.1860720631231771,0.6242816978902679,0.8568199035830266,0.2955201497378991,0.8230681886874996,0.518927297628088
198,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.30156363629855126, 'subsample': 0.6962721914167119, 'colsample_bytree': 0.7833354655187024, 'gamma': 0.21212988248887238, 'reg_alpha': 0.652839993820101, 'reg_lambda': 0.4797486819250773}",95.2458316700788,1200.0,3.0,0.30156363629855126,0.6962721914167119,0.7833354655187024,0.21212988248887238,0.652839993820101,0.4797486819250773
21,[1 2 3 4 5 6 7],"{'n_estimators': 400, 'max_depth': 8, 'learning_rate': 0.3377165458173337, 'subsample': 0.44114319186021955, 'colsample_bytree': 0.8069103728931616, 'gamma': 0.46656211391844304, 'reg_alpha': 0.8733633186845429, 'reg_lambda': 0.38833130530859244}",96.30054056677804,400.0,8.0,0.3377165458173337,0.44114319186021955,0.8069103728931616,0.46656211391844304,0.8733633186845429,0.38833130530859244
56,[1 2 3 4 5 6 7],"{'n_estimators': 1000, 'max_depth': 4, 'learning_rate': 0.2208269913862741, 'subsample': 0.742896375741638, 'colsample_bytree': 0.6346374905589601, 'gamma': 0.2641549317936567, 'reg_alpha': 0.6896666309942246, 'reg_lambda': 0.40818409072204515}",96.64634500372702,1000.0,4.0,0.2208269913862741,0.742896375741638,0.6346374905589601,0.2641549317936567,0.6896666309942246,0.40818409072204515
130,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 8, 'learning_rate': 0.34147260319278666, 'subsample': 0.6292203871261725, 'colsample_bytree': 0.8907749345070115, 'gamma': 0.07298948743869503, 'reg_alpha': 0.82539347263007, 'reg_lambda': 0.5670065410514067}",96.67402945201161,1100.0,8.0,0.34147260319278666,0.6292203871261725,0.8907749345070115,0.07298948743869503,0.82539347263007,0.5670065410514067
137,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.30373094562418834, 'subsample': 0.5768814472309536, 'colsample_bytree': 0.5789664560614801, 'gamma': 0.2886786858848736, 'reg_alpha': 0.7459223675982026, 'reg_lambda': 0.36445979306663967}",98.35400647847472,1100.0,3.0,0.30373094562418834,0.5768814472309536,0.5789664560614801,0.2886786858848736,0.7459223675982026,0.36445979306663967
158,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 4, 'learning_rate': 0.2399707209998723, 'subsample': 0.4513500769939045, 'colsample_bytree': 0.86905285085301, 'gamma': 0.5154512374802076, 'reg_alpha': 0.9608010267168726, 'reg_lambda': 0.5087918364255142}",100.35694023465157,1200.0,4.0,0.2399707209998723,0.4513500769939045,0.86905285085301,0.5154512374802076,0.9608010267168726,0.5087918364255142
7,[1 2 3 4 5 6 7],"{'n_estimators': 700, 'max_depth': 8, 'learning_rate': 0.4389738524796357, 'subsample': 0.5593801037302101, 'colsample_bytree': 0.7023824046660451, 'gamma': 0.5859365525622129, 'reg_alpha': 0.6249035020955999, 'reg_lambda': 0.6746890509878248}",100.53777068339375,700.0,8.0,0.4389738524796357,0.5593801037302101,0.7023824046660451,0.5859365525622129,0.6249035020955999,0.6746890509878248
26,[1 2 3 4 5 6 7],"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.33528525799251996, 'subsample': 0.654869917759662, 'colsample_bytree': 0.7751582204445009, 'gamma': 0.6854316389990329, 'reg_alpha': 0.7279015887508157, 'reg_lambda': 0.49665802312081986}",100.86037652053808,500.0,5.0,0.33528525799251996,0.654869917759662,0.7751582204445009,0.6854316389990329,0.7279015887508157,0.49665802312081986
36,[1 2 3 4 5 6 7],"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.32102581289817034, 'subsample': 0.48475681147520344, 'colsample_bytree': 0.9473282494466951, 'gamma': 0.5233551669018839, 'reg_alpha': 0.9996290405707129, 'reg_lambda': 0.5027294299932267}",100.98684446116724,500.0,6.0,0.32102581289817034,0.48475681147520344,0.9473282494466951,0.5233551669018839,0.9996290405707129,0.5027294299932267
32,[1 2 3 4 5 6 7],"{'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.4914945767043811, 'subsample': 0.5112158794527325, 'colsample_bytree': 0.8707832249830563, 'gamma': 0.5397912755861289, 'reg_alpha': 0.8388738789884008, 'reg_lambda': 0.3993217932606923}",103.55340133924052,400.0,6.0,0.4914945767043811,0.5112158794527325,0.8707832249830563,0.5397912755861289,0.8388738789884008,0.3993217932606923
12,[1 2 3 4 5 6 7],"{'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.28531809364838756, 'subsample': 0.4589879406524997, 'colsample_bytree': 0.8492627049702709, 'gamma': 0.8022394982976364, 'reg_alpha': 0.7802916997747216, 'reg_lambda': 0.044839363582925396}",104.69179220005779,600.0,4.0,0.28531809364838756,0.4589879406524997,0.8492627049702709,0.8022394982976364,0.7802916997747216,0.044839363582925396
10,[1 2 3 4 5 6 7],"{'n_estimators': 400, 'max_depth': 10, 'learning_rate': 0.3024352124604788, 'subsample': 0.1072550290636185, 'colsample_bytree': 0.14183572239415482, 'gamma': 0.9687485406819448, 'reg_alpha': 0.7024236194881206, 'reg_lambda': 0.1992557319625562}",209.93872023673646,400.0,10.0,0.3024352124604788,0.1072550290636185,0.14183572239415482,0.9687485406819448,0.7024236194881206,0.1992557319625562
