id,Provincia,Nombre,X,Y,Z
1730E,PONTEVEDRA,O ROSAL,42.56666666666666,-9.683333333333334,55
1735X,OURENSE,XINZO DE LIMIA,42.81666666666667,-7.75,616
1738U,OURENSE,MUIÑOS,41.98333333333333,-8.316666666666666,730
1740,CANTABRIA,"SANTILLANA DEL MAR, ALTAMIRA",44.0,-4.583333333333333,150
2005Y,SORIA,"VINUESA, QUINTANAREJO",42.03333333333334,-3.7333333333333334,1197
2017Y,SORIA,"LA PÓVEDA DE SORIA, BARRIOMARTÍN",42.733333333333334,-3.1333333333333333,1260
2030,SORIA,SORIA,42.266666666666666,-3.45,1081
2044B,SORIA,LUBIA,41.63333333333333,-2.95,1100
2048A,SORIA,MORÓN DE ALMAZÁN,41.58333333333333,-2.6333333333333333,978
2059B,SORIA,LA RIBA DE ESCALOTE,42.31666666666667,-2.783333333333333,1042
2084Y,SORIA,UCERO,42.03333333333334,-3.8499999999999996,960
2092,SORIA,BURGO DE OSMA,41.95,-3.3000000000000003,932
2096B,SORIA,LICERAS,41.78333333333333,-3.3333333333333335,1150
2106B,BURGOS,CORUÑA DEL CONDE,42.483333333333334,-4.283333333333333,955
2117D,BURGOS,ARANDA DE DUERO,42.6,-4.3,790
2135A,SEGOVIA,FRESNO DE CANTESPINO,41.733333333333334,-3.9333333333333336,993
2140A,SEGOVIA,ALDEANUEVA DE SERREZUELA,42.31666666666667,-3.933333333333333,1135
2150H,SEGOVIA,"LA PINILLA, ESTACIÓN DE ESQUÍ",41.699999999999996,-3.9833333333333334,1798
2166Y,VALLADOLID,PEÑAFIEL,42.16666666666667,-4.6,756
2172Y,VALLADOLID,SARDÓN DE DUERO,42.31666666666667,-4.733333333333333,725
2182C,SEGOVIA,PEDRAZA,41.166666666666664,-4.2,1107
2192C,SEGOVIA,CUÉLLAR,41.4,-5.183333333333334,795
2235U,PALENCIA,CERVERA DE PISUERGA,43.1,-4.716666666666667,1140
2243A,PALENCIA,AGUILAR DE CAMPOO,43.61666666666667,-4.883333333333333,910
2276B,PALENCIA,VILLAELES DE VALDAVIA,42.7,-5.066666666666666,908
2285B,BURGOS,VILLADIEGO,42.949999999999996,-4.066666666666666,869
2290Y,BURGOS,PEDROSA DEL PRÍNCIPE,42.31666666666667,-5.116666666666667,771
2296A,SORIA,ÓLVEGA,42.3,-2.566666666666667,1039
2298,BURGOS,PALACIOS DE LA SIERRA,42.53333333333334,-4.016666666666667,1080
2302N,BURGOS,MONTERRUBIO DE LA DEMANDA,42.916666666666664,-3.75,1197
2311Y,BURGOS,VILLAMAYOR DE LOS MONTES,42.41666666666667,-3.8333333333333335,882
2331,BURGOS,BURGOS AEROPUERTO,42.766666666666666,-3.9,891
2362C,PALENCIA,"VELILLA DEL RÍO CARRIÓN, CAMPORREDONDO DE ALBA",43.516666666666666,-5.516666666666667,1575
2374X,PALENCIA,CARRIÓN DE LOS CONDES,42.4,-4.65,830
2400E,PALENCIA,AUTILLA DEL PINO,42.71666666666667,-4.766666666666667,874
2401,PALENCIA,"PALENCIA, OBSERVATORIO",42.3,-5.266666666666667,750
2401X,PALENCIA,PALENCIA,42.56666666666667,-5.183333333333334,736
2422,VALLADOLID,VALLADOLID,42.083333333333336,-5.016666666666667,734
2430Y,AVILA,MUÑOTELLO,41.13333333333333,-5.683333333333334,1178
2444,AVILA,ÁVILA,41.199999999999996,-5.45,1130
2444C,AVILA,"ÁVILA, AYUNTAMIENTO",41.05,-4.716666666666667,1143
2453E,AVILA,GOTARRENDURA,41.550000000000004,-5.25,920
2456B,AVILA,AREVALO,41.35,-5.516666666666667,820
2462,MADRID,PUERTO DE NAVACERRADA,41.36666666666667,-4.633333333333333,1893
2465,SEGOVIA,SEGOVIA,41.65,-4.699999999999999,1008
2465A,SEGOVIA,"SEGOVIA, INSTITUTO",41.73333333333333,-5.05,990
2471Y,SEGOVIA,SAN RAFAEL,40.833333333333336,-4.916666666666667,1237
2482B,SEGOVIA,MIGUELAÑEZ,41.7,-4.916666666666666,870
2491C,SALAMANCA,"LA COVATILLA, ESTACIÓN DE ESQUÍ",40.65,-6.083333333333334,1960
2503B,VALLADOLID,"OLMEDO, DEPÓSITO DE AGUA",42.06666666666666,-5.2,786
2503X,VALLADOLID,OLMEDO,41.86666666666667,-4.9,740
2507Y,VALLADOLID,RUEDA,41.58333333333333,-5.766666666666667,724
2512Y,AVILA,RIVILLA DE BARAJAS,41.8,-5.133333333333333,925
2517A,VALLADOLID,FUENTE EL SOL,41.53333333333333,-5.316666666666667,755
2536D,ZAMORA,MORALES DEL TORO,42.449999999999996,-5.566666666666666,710
2539,VALLADOLID,VALLADOLID AEROPUERTO,42.41666666666667,-5.183333333333333,846
2555B,ZAMORA,FUENTESAUCO,41.43333333333334,-6.35,811
2565,ZAMORA,CORESES,41.86666666666667,-6.45,701
2568D,PALENCIA,"SANTERVÁS DE LA VEGA, VILLAPÚN ",42.93333333333333,-4.916666666666666,985
2593D,VALLADOLID,VILLALÓN DE CAMPOS,42.733333333333334,-5.5,782
2604B,VALLADOLID,MEDINA DE RIOSECO,42.416666666666664,-5.45,731
2611D,ZAMORA,VILLAFÁFILA,42.233333333333334,-6.133333333333333,690
2614,ZAMORA,ZAMORA,42.43333333333333,-5.85,656
2624C,LEON,RIAÑO,43.45,-5.45,1090
2626Y,LEON,CUBILLAS DE RUEDA,42.81666666666667,-5.783333333333333,916
2630X,LEON,PUERTO DE SAN ISIDRO,43.78333333333333,-5.9833333333333325,1510
2661,LEON,"LEÓN, VIRGEN DEL CAMINO",42.88333333333333,-5.716666666666667,912
2661B,LEON,LEÓN AEROPUERTO,43.550000000000004,-6.25,912
2664B,LEON,VALENCIA DE DON JUAN,43.03333333333333,-5.783333333333333,788
2701D,LEON,"BARRIOS DE LUNA, MIÑERA",43.016666666666666,-6.116666666666667,1120
2728B,LEON,"QUINTANA DEL CASTILLO, VILLAMECA",43.53333333333333,-6.316666666666666,995
2734D,LEON,ASTORGA,43.06666666666667,-6.533333333333333,919
2737E,LEON,LAGUNAS DE SOMOZA,43.016666666666666,-6.983333333333333,1020
2742R,LEON,BUSTILLO DEL PÁRAMO,43.43333333333334,-6.55,850
2755X,ZAMORA,BENAVENTE,42.65,-5.666666666666667,715
2766E,ZAMORA,"SANABRIA, ROBLEDA-CERVANTES",43.0,-7.033333333333333,935
2775X,ZAMORA,VILLARDECIERVOS,42.416666666666664,-7.05,850
2777K,ZAMORA,SANTIBAÑEZ DE VIDRIALES,42.75,-6.433333333333334,737
